[00:59:40] [Átad][USA]Nagato_Brasco átadott neki: [Civil]Angelina_Freeman, egy Parachute-t
[03:23:45] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db MP5-t | Raktár Volt: 65 Lett: 66
[03:36:00] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 333 Lett: 334
[03:36:00] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 334 Lett: 335
[03:36:00] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -65 Lett: 335
[03:36:00] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 213 Lett: 214
[03:36:00] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 335 Lett: 336
[03:36:00] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 335 Lett: 336
[03:36:00] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 335 Lett: 336
[03:36:00] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 336 Lett: 337
[03:36:00] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -63 Lett: 337
[03:36:00] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 214 Lett: 215
[03:36:00] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 337 Lett: 338
[03:36:00] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 337 Lett: 338
[03:36:00] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 337 Lett: 338
[03:36:00] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 338 Lett: 339
[03:36:00] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -61 Lett: 339
[03:36:00] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 215 Lett: 216
[03:36:00] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 339 Lett: 340
[03:36:00] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 339 Lett: 340
[03:36:00] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 339 Lett: 340
[03:36:00] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 340 Lett: 341
[03:36:00] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -59 Lett: 341
[03:36:02] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 216 Lett: 217
[03:36:02] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 341 Lett: 342
[03:36:02] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 341 Lett: 342
[03:36:02] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 341 Lett: 342
[03:36:02] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 342 Lett: 343
[03:36:02] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -57 Lett: 343
[03:36:02] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 217 Lett: 218
[03:36:02] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 343 Lett: 344
[03:36:02] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 343 Lett: 344
[03:36:02] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 343 Lett: 344
[03:36:02] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 344 Lett: 345
[03:36:02] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -55 Lett: 345
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 218 Lett: 219
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 345 Lett: 346
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 345 Lett: 346
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 345 Lett: 346
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 346 Lett: 347
[03:36:03] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -53 Lett: 347
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 219 Lett: 220
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 347 Lett: 348
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 347 Lett: 348
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 347 Lett: 348
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 348 Lett: 349
[03:36:03] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -51 Lett: 349
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 220 Lett: 221
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 349 Lett: 350
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 349 Lett: 350
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 349 Lett: 350
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 350 Lett: 351
[03:36:03] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -49 Lett: 351
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 221 Lett: 222
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 351 Lett: 352
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 351 Lett: 352
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 351 Lett: 352
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 352 Lett: 353
[03:36:03] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -47 Lett: 353
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 222 Lett: 223
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 353 Lett: 354
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 353 Lett: 354
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 353 Lett: 354
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 354 Lett: 355
[03:36:03] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -45 Lett: 355
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 223 Lett: 224
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 355 Lett: 356
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 355 Lett: 356
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 355 Lett: 356
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 356 Lett: 357
[03:36:03] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -43 Lett: 357
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 224 Lett: 225
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 357 Lett: 358
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 357 Lett: 358
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 357 Lett: 358
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 358 Lett: 359
[03:36:03] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -41 Lett: 359
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 225 Lett: 226
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 359 Lett: 360
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 359 Lett: 360
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 359 Lett: 360
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 360 Lett: 361
[03:36:03] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -39 Lett: 361
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 226 Lett: 227
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 361 Lett: 362
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 361 Lett: 362
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 361 Lett: 362
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 362 Lett: 363
[03:36:03] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -37 Lett: 363
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 227 Lett: 228
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 363 Lett: 364
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 363 Lett: 364
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 363 Lett: 364
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 364 Lett: 365
[03:36:03] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -35 Lett: 365
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 228 Lett: 229
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 365 Lett: 366
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 365 Lett: 366
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 365 Lett: 366
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 366 Lett: 367
[03:36:03] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -33 Lett: 367
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 229 Lett: 230
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 367 Lett: 368
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 367 Lett: 368
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 367 Lett: 368
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 368 Lett: 369
[03:36:03] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -31 Lett: 369
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 230 Lett: 231
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 369 Lett: 370
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 369 Lett: 370
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 369 Lett: 370
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 370 Lett: 371
[03:36:03] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -29 Lett: 371
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 231 Lett: 232
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 371 Lett: 372
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 371 Lett: 372
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 371 Lett: 372
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 372 Lett: 373
[03:36:03] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -27 Lett: 373
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 232 Lett: 233
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 373 Lett: 374
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 373 Lett: 374
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 373 Lett: 374
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 374 Lett: 375
[03:36:03] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -25 Lett: 375
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 233 Lett: 234
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 375 Lett: 376
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 375 Lett: 376
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 375 Lett: 376
[03:36:03] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 376 Lett: 377
[03:36:03] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -23 Lett: 377
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 234 Lett: 235
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 377 Lett: 378
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 377 Lett: 378
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 377 Lett: 378
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 378 Lett: 379
[03:36:05] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -21 Lett: 379
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 235 Lett: 236
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 379 Lett: 380
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 379 Lett: 380
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 379 Lett: 380
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 380 Lett: 381
[03:36:05] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -19 Lett: 381
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 236 Lett: 237
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 381 Lett: 382
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 381 Lett: 382
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 381 Lett: 382
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 382 Lett: 383
[03:36:05] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -17 Lett: 383
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 237 Lett: 238
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 383 Lett: 384
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 383 Lett: 384
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 383 Lett: 384
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 384 Lett: 385
[03:36:05] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -15 Lett: 385
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 238 Lett: 239
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 385 Lett: 386
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 385 Lett: 386
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 385 Lett: 386
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 386 Lett: 387
[03:36:05] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -13 Lett: 387
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 239 Lett: 240
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 387 Lett: 388
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 387 Lett: 388
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 387 Lett: 388
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 388 Lett: 389
[03:36:05] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -11 Lett: 389
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 240 Lett: 241
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 389 Lett: 390
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 389 Lett: 390
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 389 Lett: 390
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 390 Lett: 391
[03:36:05] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -9 Lett: 391
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 241 Lett: 242
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 391 Lett: 392
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 391 Lett: 392
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 391 Lett: 392
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 392 Lett: 393
[03:36:05] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -7 Lett: 393
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 242 Lett: 243
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 393 Lett: 394
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 393 Lett: 394
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 393 Lett: 394
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 394 Lett: 395
[03:36:05] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -5 Lett: 395
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 243 Lett: 244
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 395 Lett: 396
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 395 Lett: 396
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 395 Lett: 396
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 396 Lett: 397
[03:36:05] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -3 Lett: 397
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 244 Lett: 245
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 397 Lett: 398
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 397 Lett: 398
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 397 Lett: 398
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 398 Lett: 399
[03:36:05] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: -1 Lett: 399
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 245 Lett: 246
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 399 Lett: 400
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 399 Lett: 400
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 399 Lett: 400
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 400 Lett: 401
[03:36:05] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: 1 Lett: 401
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 246 Lett: 247
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 401 Lett: 402
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 401 Lett: 402
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 401 Lett: 402
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 402 Lett: 403
[03:36:05] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: 3 Lett: 403
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db M4-t | Raktár Volt: 247 Lett: 248
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 403 Lett: 404
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Spray-t | Raktár Volt: 403 Lett: 404
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Stick-t | Raktár Volt: 403 Lett: 404
[03:36:05] [duty lead fegyver]Nagato_Brasco Frakcio: 13 | 1 Db Sniper-t | Raktár Volt: 404 Lett: 405
[03:36:05] [duty lead lõszer]Nagato_Brasco Frakcio: 13 | 400 Db Spray-t | Raktár Volt: 5 Lett: 405
